id,url,file_path,xpath,index_from,index_to,title,text_content,page_id,word_count,number,parent_id,_order
20,http://commons.apache.org/math/userguide/random.html,math/doc/manual3.1/math/userguide/random.html,/html/body/div[4]/div/div/div[4],0,0,2.4 Random Strings,,4,198,"",2,4
22,http://commons.apache.org/math/userguide/optimization.html,math/doc/manual3.1/math/userguide/optimization.html,/html/body/div[4]/div/div/div[5],0,0,12.5 General Case,,1,1117,"",3,5
16,http://commons.apache.org/math/userguide/special.html,math/doc/manual3.1/math/userguide/special.html,/html/body/div[4]/div/div/div[3]/div[1],0,0,Gamma,,3,189,"",14,4
25,http://commons.apache.org/math/userguide/optimization.html,math/doc/manual3.1/math/userguide/optimization.html,/html/body/div[4]/div/div/div[6],0,0,12.6 Curve Fitting,,1,382,"",3,6
23,http://commons.apache.org/math/userguide/random.html,math/doc/manual3.1/math/userguide/random.html,/html/body/div[4]/div/div/div[5],0,0,"2.5 Random permutations, combinations, sampling",,4,150,"",2,5
19,http://commons.apache.org/math/userguide/special.html,math/doc/manual3.1/math/userguide/special.html,/html/body/div[4]/div/div/div[3]/div[2],0,0,Log Gamma,,3,132,"",14,5
26,http://commons.apache.org/math/userguide/random.html,math/doc/manual3.1/math/userguide/random.html,/html/body/div[4]/div/div/div[6],0,0,2.6 Generating data 'like' an input file,,4,284,"",2,6
21,http://commons.apache.org/math/userguide/special.html,math/doc/manual3.1/math/userguide/special.html,/html/body/div[4]/div/div/div[3]/div[3],0,0,Regularized Gamma,,3,17,"",14,6
24,http://commons.apache.org/math/userguide/special.html,math/doc/manual3.1/math/userguide/special.html,/html/body/div[4]/div/div/div[4],0,0,5.4 Beta functions,,3,12,"",4,7
28,http://commons.apache.org/math/userguide/random.html,math/doc/manual3.1/math/userguide/random.html,/html/body/div[4]/div/div/div[7],0,0,2.7 PRNG Pluggability,,4,1090,"",2,7
27,http://commons.apache.org/math/userguide/special.html,math/doc/manual3.1/math/userguide/special.html,/html/body/div[4]/div/div/div[4]/div[1],0,0,Log Beta,,3,261,"",24,8
29,http://commons.apache.org/math/userguide/special.html,math/doc/manual3.1/math/userguide/special.html,/html/body/div[4]/div/div/div[4]/div[2],0,0,Regularized Beta,,3,5,"",24,9
30,http://commons.apache.org/math/userguide/genetics.html,math/doc/manual3.1/math/userguide/genetics.html,/html/body/div[4]/div/div,0,0,14 Genetic Algorithms,,5,3,"",,0
31,http://commons.apache.org/math/userguide/genetics.html,math/doc/manual3.1/math/userguide/genetics.html,/html/body/div[4]/div/div/div[1],0,0,14.1 Overview,,5,13,"",30,1
32,http://commons.apache.org/math/userguide/genetics.html,math/doc/manual3.1/math/userguide/genetics.html,/html/body/div[4]/div/div/div[2],0,0,14.2 GA Framework,,5,142,"",30,2
33,http://commons.apache.org/math/userguide/genetics.html,math/doc/manual3.1/math/userguide/genetics.html,/html/body/div[4]/div/div/div[3],0,0,14.3 Implementation,,5,217,"",30,3
34,http://commons.apache.org/math/userguide/index.html,math/doc/manual3.1/math/userguide/index.html,/html/body/div[4]/div/div,0,0,Table of Contents,,6,296,"",,0
35,http://commons.apache.org/math/userguide/exceptions.html,math/doc/manual3.1/math/userguide/exceptions.html,/html/body/div[4]/div/div,0,0,16 Exceptions,,7,2,"",,0
43,http://commons.apache.org/math/userguide/filter.html,math/doc/manual3.1/math/userguide/filter.html,/html/body/div[4]/div/div,0,0,15 Filters,,9,2,"",,0
95,http://commons.apache.org/math/userguide/linear.html,math/doc/manual3.1/math/userguide/linear.html,/html/body/div[4]/div/div,0,0,3 Linear Algebra,,18,3,"",,0
36,http://commons.apache.org/math/userguide/exceptions.html,math/doc/manual3.1/math/userguide/exceptions.html,/html/body/div[4]/div/div/div[1],0,0,16.1 Overview,,7,19,"",35,1
37,http://commons.apache.org/math/userguide/exceptions.html,math/doc/manual3.1/math/userguide/exceptions.html,/html/body/div[4]/div/div/div[2],0,0,16.2 Unchecked Exceptions,,7,82,"",35,2
38,http://commons.apache.org/math/userguide/exceptions.html,math/doc/manual3.1/math/userguide/exceptions.html,/html/body/div[4]/div/div/div[3],0,0,16.3 Hierarchies,,7,95,"",35,3
