"file_path";"xpath";"content";"simple_name";"fqn";"kind";"abstract";
"smack/doc/smacktutorial3.3/home/gaya/recodoc2/recodoc2/recodoc_data/smack/doc/smack/extensions/pubsub.html";"/html/body/div[6]/blockquote[1]/pre";"F!F:zzzsnippet.ZZZSuperZZZSnippet:UNKNOWNP.UNKNOWN:con";"con";"org.jivesoftware.smackx.pubsub.Node.con";"field";"f";
"smack/doc/smacktutorial3.3/home/gaya/recodoc2/recodoc2/recodoc_data/smack/doc/smack/extensions/xhtml.html";"/html/body/div[3]/blockquote/pre";"T!T:zzzsnippet.XHTMLManager";"XHTMLManager";"org.jivesoftware.smackx.XHTMLManager";"class";"f";
"smack/doc/smacktutorial3.3/home/gaya/recodoc2/recodoc2/recodoc_data/smack/doc/smack/extensions/xhtml.html";"/html/body/div[4]/blockquote/pre";"T!T:zzzsnippet.XHTMLManager";"XHTMLManager";"org.jivesoftware.smackx.XHTMLManager";"class";"f";
"smack/doc/smacktutorial3.3/home/gaya/recodoc2/recodoc2/recodoc_data/smack/doc/smack/extensions/messageevents.html";"/html/body/div[4]/blockquote/pre";"M!M:zzzsnippet.MessageEventManager:addMessageEventNotificationListener:UNKNOWNP.UNKNOWN";"addMessageEventNotificationListener";"org.jivesoftware.smackx.MessageEventManager.addMessageEventNotificationListener";"method";"f";
"smack/doc/smacktutorial3.3/home/gaya/recodoc2/recodoc2/recodoc_data/smack/doc/smack/extensions/muc.html";"/html/body/div[3]/blockquote[2]/pre";"T!T:zzzsnippet.MultiUserChat";"MultiUserChat";"org.jivesoftware.smackx.muc.MultiUserChat";"class";"f";
"smack/doc/smacktutorial3.3/home/gaya/recodoc2/recodoc2/recodoc_data/smack/doc/smack/extensions/pubsub.html";"/html/body/div[6]/blockquote[2]/pre";"F!F:zzzsnippet.ZZZSuperZZZSnippet:UNKNOWNP.UNKNOWN:con";"con";"org.jivesoftware.smackx.pubsub.Node.con";"field";"f";
"smack/doc/smacktutorial3.3/home/gaya/recodoc2/recodoc2/recodoc_data/smack/doc/smack/extensions/messageevents.html";"/html/body/div[3]/blockquote/pre";"T!T:zzzsnippet.XMPPConnection";"XMPPConnection";"org.jivesoftware.smack.XMPPConnection";"class";"f";
"smack/doc/smacktutorial3.3/home/gaya/recodoc2/recodoc2/recodoc_data/smack/doc/smack/extensions/messageevents.html";"/html/body/div[4]/blockquote/pre";"T!T:zzzsnippet.XMPPConnection";"XMPPConnection";"org.jivesoftware.smack.XMPPConnection";"class";"f";
"smack/doc/smacktutorial3.3/home/gaya/recodoc2/recodoc2/recodoc_data/smack/doc/smack/extensions/pubsub.html";"/html/body/div[2]/blockquote[2]/pre";"M!M:zzzsnippet.ConfigureForm:setPublishModel:UNKNOWNP.UNKNOWN";"setPublishModel";"org.jivesoftware.smackx.pubsub.ConfigureForm.setPublishModel";"method";"f";
"smack/doc/smacktutorial3.3/home/gaya/recodoc2/recodoc2/recodoc_data/smack/doc/smack/gettingstarted.html";"/html/body/div[3]";"Connection";"Connection";"org.jivesoftware.smack.Connection";"class";"t";
"smack/doc/smacktutorial3.3/home/gaya/recodoc2/recodoc2/recodoc_data/smack/doc/smack/extensions/dataforms.html";"/html/body/div[3]/blockquote/pre";"M!M:zzzsnippet.Form:createAnswerForm";"createAnswerForm";"org.jivesoftware.smackx.Form.createAnswerForm";"method";"f";
"smack/doc/smacktutorial3.3/home/gaya/recodoc2/recodoc2/recodoc_data/smack/doc/smack/processing.html";"/html/body/div[1]/p[2]/tt[2]";"PacketCollector";"PacketCollector";"org.jivesoftware.smack.PacketCollector";"class";"f";
"smack/doc/smacktutorial3.3/home/gaya/recodoc2/recodoc2/recodoc_data/smack/doc/smack/processing.html";"/html/body/div[1]/div[3]/pre";"M!M:UNKNOWNP.UNKNOWN:processPacket:zzzsnippet.Packet";"processPacket";"org.jivesoftware.smack.PacketCollector.processPacket";"method";"f";
"smack/doc/smacktutorial3.3/home/gaya/recodoc2/recodoc2/recodoc_data/smack/doc/smack/extensions/muc.html";"/html/body/div[10]/blockquote/pre";"T!T:zzzsnippet.DefaultParticipantStatusListener";"DefaultParticipantStatusListener";"org.jivesoftware.smackx.muc.DefaultParticipantStatusListener";"class";"f";
"smack/doc/smacktutorial3.3/home/gaya/recodoc2/recodoc2/recodoc_data/smack/doc/smack/gettingstarted.html";"/html/body/div[3]/p[4]/tt[1]";"Connection.login(String username";"d";"login";"org.jivesoftware.smack.Connection.login";"method";"f"
"smack/doc/smacktutorial3.3/home/gaya/recodoc2/recodoc2/recodoc_data/smack/doc/smack/extensions/muc.html";"/html/body/div[3]/blockquote[3]/pre";"M!M:zzzsnippet.MultiUserChat:join:java.lang.String:java.lang.String:zzzsnippet.DiscussionHistory:UNKNOWNP.UNKNOWN";"join";"org.jivesoftware.smackx.muc.MultiUserChat.join";"method";"f";
"smack/doc/smacktutorial3.3/home/gaya/recodoc2/recodoc2/recodoc_data/smack/doc/smack/roster.html";"/html/body/div[4]/pre";"M!M:UNKNOWNP.UNKNOWN:entriesUpdated:zzzsnippet.Collection<java.lang.String>";"entriesUpdated";"org.jivesoftware.smack.RosterListener.entriesUpdated";"method";"t";
"smack/doc/smacktutorial3.3/home/gaya/recodoc2/recodoc2/recodoc_data/smack/doc/smack/extensions/pubsub.html";"/html/body/div[6]/blockquote[1]/pre";"M!M:zzzsnippet.PubSubManager:getSupportedFeatures";"getSupportedFeatures";"org.jivesoftware.smackx.pubsub.PubSubManager.getSupportedFeatures";"method";"f";
"smack/doc/smacktutorial3.3/home/gaya/recodoc2/recodoc2/recodoc_data/smack/doc/smack/extensions/pubsub.html";"/html/body/div[3]/blockquote[1]/pre";"M!M:zzzsnippet.PubSubManager:getNode:java.lang.String";"getNode";"org.jivesoftware.smackx.pubsub.PubSubManager.getNode";"method";"f";
"smack/doc/smacktutorial3.3/home/gaya/recodoc2/recodoc2/recodoc_data/smack/doc/smack/extensions/pubsub.html";"/html/body/div[2]/blockquote[3]/pre";"F!F:zzzsnippet.ZZZSuperZZZSnippet:UNKNOWNP.UNKNOWN:con";"con";"org.jivesoftware.smackx.pubsub.Node.con";"field";"f";
"smack/doc/smacktutorial3.3/home/gaya/recodoc2/recodoc2/recodoc_data/smack/doc/smack/extensions/muc.html";"/html/body/div[2]/blockquote[2]/pre";"M!M:zzzsnippet.Form:setDefaultAnswer:UNKNOWNP.UNKNOWN";"setDefaultAnswer";"org.jivesoftware.smackx.Form.setDefaultAnswer";"method";"f";
"smack/doc/smacktutorial3.3/home/gaya/recodoc2/recodoc2/recodoc_data/smack/doc/smack/extensions/rosterexchange.html";"/html/body/div[5]/blockquote/pre";"M!M:zzzsnippet.RosterExchangeManager:addRosterListener:zzzsnippet.RosterExchangeListener";"addRosterListener";"org.jivesoftware.smackx.RosterExchangeManager.addRosterListener";"method";"f";
"smack/doc/smacktutorial3.3/home/gaya/recodoc2/recodoc2/recodoc_data/smack/doc/smack/extensions/pubsub.html";"/html/body/div[2]/blockquote[3]/pre";"M!M:zzzsnippet.ConfigureForm:ConfigureForm:UNKNOWNP.UNKNOWN";"ConfigureForm";"org.jivesoftware.smackx.pubsub.ConfigureForm.ConfigureForm";"method";"f";
"smack/doc/smacktutorial3.3/home/gaya/recodoc2/recodoc2/recodoc_data/smack/doc/smack/privacy.html";"/html/body/div[3]/ol/li[2]/div/pre";"M!M:zzzsnippet.PrivacyItem:setValue:UNKNOWNP.UNKNOWN";"setValue";"org.jivesoftware.smack.packet.PrivacyItem.setValue";"method";"f";
"smack/doc/smacktutorial3.3/home/gaya/recodoc2/recodoc2/recodoc_data/smack/doc/smack/extensions/disco.html";"/html/body/div[5]/blockquote/pre";"M!M:DiscoverInfo.Identity:getType";"getType";"org.jivesoftware.smackx.packet.DiscoverInfo.Identity.getType";"method";"f";
"smack/doc/smacktutorial3.3/home/gaya/recodoc2/recodoc2/recodoc_data/smack/doc/smack/extensions/filetransfer.html";"/html/body/div[4]/blockquote/pre";"M!M:zzzsnippet.transfer:getStatus";"getStatus";"org.jivesoftware.smackx.filetransfer.FileTransfer.getStatus";"method";"f";
"smack/doc/smacktutorial3.3/home/gaya/recodoc2/recodoc2/recodoc_data/smack/doc/smack/extensions/muc.html";"/html/body/div[2]/blockquote[2]/pre";"T!T:zzzsnippet.Form";"Form";"org.jivesoftware.smackx.Form";"class";"f";
"smack/doc/smacktutorial3.3/home/gaya/recodoc2/recodoc2/recodoc_data/smack/doc/smack/processing.html";"/html/body/div[1]/div[3]/pre";"T!T:zzzsnippet.PacketCollector";"PacketCollector";"org.jivesoftware.smack.PacketCollector";"class";"f";
"smack/doc/smacktutorial3.3/home/gaya/recodoc2/recodoc2/recodoc_data/smack/doc/smack/extensions/muc.html";"/html/body/div[11]/blockquote/pre";"M!M:zzzsnippet.MultiUserChat:join:java.lang.String";"join";"org.jivesoftware.smackx.muc.MultiUserChat.join";"method";"f";
"smack/doc/smacktutorial3.3/home/gaya/recodoc2/recodoc2/recodoc_data/smack/doc/smack/extensions/rosterexchange.html";"/html/body/div[5]/blockquote/pre";"M!M:zzzsnippet.XMPPConnection:login:UNKNOWNP.UNKNOWN:UNKNOWNP.UNKNOWN";"login";"org.jivesoftware.smack.Connection.login";"method";"f";
"smack/doc/smacktutorial3.3/home/gaya/recodoc2/recodoc2/recodoc_data/smack/doc/smack/extensions/rosterexchange.html";"/html/body/div[5]/blockquote/pre";"T!T:zzzsnippet.XMPPException";"XMPPException";"org.jivesoftware.smack.XMPPException";"class";"f";
