"file_path";"xpath";"content";"simple_name";"fqn";"kind";"abstract";;;
"smack/extensions/muc.html";"/html/body/div[11]/p[10]/b[3]";"addParticipantStatusListener(ParticipantStatusListener listener)";"addParticipantStatusListener";"org.jivesoftware.smackx.muc.MultiUserChat.addParticipantStatusListener";"method";"f";;;
"smack/messaging.html";"/html/body/div[2]/p[3]/tt[3]";"Chat.sendMessage(Message)";"sendMessage";"org.jivesoftware.smack.Chat.sendMessage";"method";"f";;;
"smack/extensions/messageevents.html";"/html/body/div[3]/p[3]/i[1]";"DefaultMessageEventRequestListener";"DefaultMessageEventRequestListener";"org.jivesoftware.smackx.DefaultMessageEventRequestListener";"class";"f";;;
"smack/roster.html";"/html/body/div[5]/tt[1]";"Roster.setSubscriptionMode(Roster.SubscriptionMode)";"setSubscriptionMode";"org.jivesoftware.smack.Roster.setSubscriptionMode";"method";"f";;;
"smack/extensions/muc.html";"/html/body/div[6]/p[3]/i/b";"MultiUserChat";"MultiUserChat";"org.jivesoftware.smackx.muc.MultiUserChat";"class";"f";;;
"smack/extensions/messageevents.html";"/html/body/div[3]/ul/li[1]/i[1]";"MessageEventManager";"MessageEventManager";"org.jivesoftware.smackx.MessageEventManager";"class";"f";;;
"smack/extensions/messageevents.html";"/html/body/div[4]/p[3]/i[3]";"Connection";"Connection";"org.jivesoftware.smack.Connection";"class";"t";;;
"smack/extensions/disco.html";"/html/body/div[5]/p[5]/i[2]/b";"DiscoverInfo";"DiscoverInfo";"org.jivesoftware.smackx.packet.DiscoverInfo";"class";"f";;;
"smack/extensions/disco.html";"/html/body/div[2]/p[3]/b";"getInstanceFor(connection)";"getInstanceFor";"org.jivesoftware.smackx.ServiceDiscoveryManager.getInstanceFor";"method";"f";;;
"smack/extensions/filetransfer.html";"/html/body/div[3]/p[5]/b[1]";"accept()";"accept";"org.jivesoftware.smackx.filetransfer.FileTransferRequest.accept";"method";"f";;;
"smack/extensions/filetransfer.html";"/html/body/div[4]/p[4]/b[2]/i";"OutgoingFileTransfer";"OutgoingFileTransfer";"org.jivesoftware.smackx.filetransfer.OutgoingFileTransfer";"class";"f";;;
"smack/extensions/muc.html";"/html/body/div[10]/p[8]/b[2]/i";"UserStatusListener";"UserStatusListener";"org.jivesoftware.smackx.muc.UserStatusListener";"class";"t";;;
"smack/extensions/muc.html";"/html/body/div[9]/p[4]/b[1]";"changeSubject(String subject)";"changeSubject";"org.jivesoftware.smackx.muc.MultiUserChat.changeSubject";"method";"f";;;
"smack/extensions/dataforms.html";"/html/body/div[2]/p[3]/b[1]";"Form.TYPE_FORM";"Form";"org.jivesoftware.smackx.Form";"class";"f";;;
"smack/extensions/xhtml.html";"/html/body/div[2]/p[5]/i[1]/b";"XHTMLManager";"XHTMLManager";"org.jivesoftware.smackx.XHTMLManager";"class";"f";;;
"smack/extensions/filetransfer.html";"/html/body/div[2]/p[4]/b[3]";"createOutgoingFileTransfer(userID)";"createOutgoingFileTransfer";"org.jivesoftware.smackx.filetransfer.FileTransferManager.createOutgoingFileTransfer";"method";"f";;;
"smack/privacy.html";"/html/body/div[4]/p[2]/tt[3]";"PrivacyListListener";"PrivacyListListener";"org.jivesoftware.smack.PrivacyListListener";"class";"t";;;
"smack/extensions/messageevents.html";"/html/body/div[3]/p[4]/i[4]";"MessageEventRequestListener";"MessageEventRequestListener";"org.jivesoftware.smackx.MessageEventRequestListener";"class";"t";;;
"smack/extensions/muc.html";"/html/body/div[4]/p[4]/i[7]/b";"MultiUserChat";"MultiUserChat";"org.jivesoftware.smackx.muc.MultiUserChat";"class";"f";;;
"smack/extensions/messageevents.html";"/html/body/div[3]/p[3]/i[3]";"Connection";"Connection";"org.jivesoftware.smack.Connection";"class";"t";;;
"smack/extensions/muc.html";"/html/body/div[3]/p[3]/i[1]/b";"MultiUserChat";"MultiUserChat";"org.jivesoftware.smackx.muc.MultiUserChat";"class";"f";;;
"smack/processing.html";"/html/body/div[2]/tt";"PacketFilter";"PacketFilter";"org.jivesoftware.smack.filter.PacketFilter";"class";"t";;;
"smack/extensions/muc.html";"/html/body/div[3]/p[3]/b[2]";"join(String nickname)";"join";"org.jivesoftware.smackx.muc.MultiUserChat.join";"method";"f";;;
"smack/extensions/muc.html";"/html/body/div[2]/p[4]/b";"sendConfigurationForm(Form form)";"sendConfigurationForm";"org.jivesoftware.smackx.muc.MultiUserChat.sendConfigurationForm";"method";"f";;;
"smack/extensions/muc.html";"/html/body/div[11]/p[10]/b[4]";"addUserStatusListener(UserStatusListener listener)";"addUserStatusListener";"org.jivesoftware.smackx.muc.MultiUserChat.addUserStatusListener";"method";"f";;;
"smack/extensions/disco.html";"/html/body/div[3]/p[4]/b[2]";"removeNodeInformationProvider(String node)";"removeNodeInformationProvider";"org.jivesoftware.smackx.ServiceDiscoveryManager.removeNodeInformationProvider";"method";"f";;;
